disengagement_description,count
Object Perception: Incorrectly perceived in road small object leads to unwanted braking,2
"Weather(Rainy): Ego-vehicle didn't take off at a stop when it was his turn, perception issue",2
"Daytime, clear weather, normal street traffic.  Safety driver inadvertently disengaged the autonomy system.",2
"Weather(Cloudy): Car disengagement because braking too hard on a red traffic light that switched lately to red color (part of the safey concept, when pushing too hard the brake pedal, system gave back the control)",2
Planning discrepancy; system planned incorrect trajectory based on position of adjacent vehicle,2
Vehicle driver took over for safety. Late acceleration  due to inaccurate road perception,2
"Weather(Cloudy): Car disengagement because braking too hard on a parked car (part of the safey concept, when pushing too hard the brake pedal, system gave back the control)",2
"Weather(Cloudy): Driver's decision to takeover because red light at traffic light seen too late, perception issue",2
"Weather(Sunny): Precautionary disengagement in response to a really close parked vehicle, driver' safety decision",2
"Weather(Sunny): The vehicle moving irregularly due to poor/bad lane detections where white lane mark background is painted in black color on US-101 Freeway,  No unusual conditions were observed",2
"Weather(Sunny): Precautionary disengagement in response to the autonomous vehicle as the vehicle might have ran into the construction zone orange cones due to no visible lanes, outside of ODD",2
"Weather(Sunny): The vehicle braked too early when the object is too far from the vehicle, No unusual conditions were observed",2
In-vehicle Test driver decided to resume control to ensure vehicle maintain desired path.,2
"Weather(Sunny): The vehicle shifting in it's lateral movement at the exits on the highway but then adjusting to its original course, No unusual conditions were observed",2
Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for vehicle making an insufficiently wide turn,2
The operator disengaged the system manually to remain in the operational design domain. This was achieved by pressing the accelerator pedal to increase velocity of the vehicle.,2
"Weather(Sunny): Precautionary disengagement in response to the autonomous vehicle due to very fast traffic in the next lane, No unusual conditions were observed",2
Perception Discrepancy: Disengaged due to inaccurate tracking for a vehicle reversing in front of the Autonomous Vehicle (AV),2
Mapping: Inaccurate map tiles due to new construction led to overlap with curb,2
Object Perception: Late to perceive animal crossing the road,2
"Weather(Sunny): The vehicle was off from the route and getting very close to curb of sidewalk due to no lane markings one side of the road (Saratoga Ave, San Mateo, CA), It was raining a bit during this disengagement ",2
"Planning; as a precaution, the safety operator intervened to avoid the risk of being cut off by a vehicle that had suddenly pulled away from the side of the road.",2
"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle when Autonomous Driving Vehicle wrongly stopped for open railway gate.",2
"Planning; as a precaution, the safety operator intervened to avoid a vehicle that ran a 2-way stop sign while Autonomous Driving Vehicle had the right of way.",2
Precautionary Takeover: Oncoming traffic occupied the current planned path therefor takeover was initiated,2
Driver disengagement due to delayed response to vehicle cut-in,2
Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle during lane change maneuver,2
Planning Logic: Incorrect behavior prediction for oncoming vehicle results in unwanted braking,2
"Weather(Sunny): The vehicle was off from the route and getting very close to curb of sidewalk due to no lane markings one side of the road (Saratoga Ave, San Mateo, CA), No unusual conditions were observed",2
Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle making an insufficiently wide right turn,2
Disengage for a unwanted maneuver of the vehicle going into the construction zone (unwanted behavior for the planner failed to avoid the traffic cones).,2
Planning Logic: Planner trajectory inadequately yields for agent pulling out from street parking,2
System software failure in the perception module while entering a cloverleaf ramp on the highway in clear weather. ,2
Safety Driver disengaged due to issue with lane change maneuver.,2
"The AV was initiating a lane change, another vehicle was already on the other lane. As a result, the driver safely disengaged and resumed manual control.",2
"The AV didn't yield to vehicle turning left while AV was turning right. As a result, Driver safely disengaged and resumed manual control.",2
"Weather(Sunny), Daylight: Perception Issue - AV too close to front vehicle - Distance Calculation error",2
System software failure in the planning module while proceeding straight with low traffic on highway in cloudy weather.,2
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to overly cautious braking approaching lane merge.,2
"The AV stopped for a construction zone due to lane blockage. As a result, Driver safely disengaged and resumed manual control.",2
"Weather(Sunny), Daylight: Safety Decision - Pedestrian on the road, not on a defined crosswalk (Safety takeover)",2
Vision lost connection to camera.,2
Driver disengagement due to safety monitor notification of buffer congestion,2
Driver disengaged with steering input. Driver took over because ego vehicle suddenly made an inappropriate lane change to a lane we did not need to be in.,2
An issue with motion control system caused the system to disengage.,2
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over accidentally.,2
System software failure in the perception module while proceeding straight with medium traffic on highway in clear weather.,2
Router: Incorrect router transition leads to unwanted braking with tailgating agent,2
Planning Logic: Incorrect prediction leads to unwanted braking with tailgating agent,2
Safety Driver disengaged due to overly harsh braking.,2
"Weather(Sunny), Daylight: Perception issue - Green light not detected after switch from red, car stood still, camera perception issue",2
Planning behavior updater module state error.,2
"The system incorrectly perceived an element in the surrounding environment, resulting in an incorrect motion plan requiring a disengagement",2
Precautionary takeover to address planning; lane keeping,2
Precautionary takeover to address planning; close trailing vehicle,2
Prediction discrepancy. Adjacent vehicle made illegal maneuver from left turn only lane.,2
Driver disengaged with steering input. Driver took over for drifting behavior due to poor localization.,2
Driver disengaged with steering input. Driver took over due to wide right turn into parking lot with a following vehicle.,1
Software System Kickout: Lincoln MKZ vehicle digital gear switching fails - command received but failed to execute,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle creeped forward at red light behind vehicle.,1
"Perception; as a precaution, the safety operator intervened to prevent the ADV from running red light due to a missed detection of the traffic light.",1
"Planning; as a precaution, the safety operator intervened as a vehicle did not follow the appropriate traffic procedures and proceeded straight from the ADV's left while the ADV was making a right turn.",1
Hardware Irregularity: Bad signal received from Global Positioning System device on main computer,1
Software Positioning: Map not providing enough information for precise positioning,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for traffic light turning yellow with unclear ego vehicle intent.,1
Software System Kickout:  The vehicle's wire control system did not receive vehicle info from the Controller Area Network,1
The system disengaged because the driver seat belt not being properly fastened.,1
"Planning; as a precaution, the safety operator intervened to avoid the ADV colliding with a truck making a narrow double left turn.",1
"Planning; as a precaution, the safety operator intervened to make space between the ADV, which was going to make a left turn, and a vehicle traveling straight through the intersection at high-speed.",1
"Planning; as a precaution, the safety operator intervened to avoid the ADV merging into an area of heavy traffic.",1
Fusion Traffic Regulation module timeout.,1
"Planning; as a precaution, the safety operator intervened to make space between the ADV and a vehicle turning right.",1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to other vehicle driving the wrong way in our lane.,1
"Planning; as a precaution, the safety operator intervened for a vehicle that, without warning, made a u-turn from the middle lane.",1
"Planning; as a precaution, the safety operator intervened to avoid a cyclist traveling directly at the ADV at a high-speed.",1
"Planning; as a precaution, the safety operator intervened for a vehicle that, without warning, cut into the ADV's traveling lane.",1
"Planning; as a precaution, the safety operator intervened to create space between the ADV and a truck making a narrow left turn from the far right lane of traffic.",1
"Planning; as a precaution, the safety operator intervened to avoid being rear-ended by the vehicle traveling behind the ADV.",1
"Planning; as a precaution, the safety operator intervened for the ADV insufficiently yielding to a vehicle traveling straight while the AV was waiting to make a left turn.",1
"Planning; as a precaution, the safety operator intervened for the ADV insufficiently yielding to a vehicle making a protected left turn.",1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for a failure to yield to pedestrian at a crosswalk.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for a failure to lane change.,1
"Daytime, clear weather, normal street traffic.  The map used for autonomy suffered from an error that caused the vehicle to navigate incorrectly; no other abnormalities with on-road behavior.",1
"Daytime, clear weather, normal street traffic.  Prediction issue: results of models run to predict obstacle behavior differed from on-road outcomes by margin that led to an unsafe or disruptive vehicle trajectory ",1
"Daytime, clear weather, normal street traffic.  A hardware component of the autonomy system faulted, and the system disengaged; no abnormalities with on-road behavior.",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over during lane change due to tailgating vehicle approaching quickly behind.,1
"Daytime, clear weather, normal street traffic.  Perception issue: a trash can sitting on the right edge of the vehicle's travel lane was not detected by the software processing the sensor data stream.",1
"Daytime, clear weather, normal street traffic.  Perception issue: a traffic light overhanging the vehicle's travel lane at an intersection was not detected by the software processing the sensor data stream.",1
Driver disengaged with steering input. Driver took over during split into turning lane because tailgating vehicle was too close.,1
Accelerator pedal pressed to increase velocity of the vehicle. Accidental takeover during lane change.,1
Safety Driver disengaged autonomous mode to reduce speed.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate yield point for pedestrians near crosswalk.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate slowdown after lane change approaching green light.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate braking for lead vehicle turning right out of our lane.,1
"Daytime, clear weather, normal street traffic.  Planning issue: The autonomy system attempted to lane borrow around the vehicle in front of it, but was unsuccessful.  ",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to sudden braking after a left turn.,1
Driver disengagement due to perception discrepancy leading to undesired braking,1
Driver disengagement due to conditions exceeding ODD  ,1
Driver disengagement due to conditions exceeding ODD ,1
Test driver precautionary disengaged to avoid vehilce that was attempting to cross into ego lane.,1
"Daytime, clear weather, normal street traffic.  Perception issue: a roll of carpet lying across the vehicle's travel lane was not detected by the software processing the sensor data stream.",1
"Weather(Sunny): The vehicle stopped/braked in the urban street due to pedestrains walking in the other direction on the foot path, No unusual conditions were observed ",1
Driver precautionary disengagement due to aggressive driver passing in lane merge,1
Driver disengagement due to perception discrepancy causing false positive vehicle detection,1
Driver precautionary  disengagement due to lead vehicle transitioning to the highway shoulder,1
"Weather(Sunny): The vehicle stopped/braked in the urban street due to parked cars along the sides of the road as this autonomous vehicle is designed for highway driving only, No unusual conditions were observed",1
Driver disengagement due to safety monitor notification of positioning discrepancy compared to ground truth positioning system,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to unstable speed profile while trying to find lane change gap.,1
"Prediction; as a precaution, the safety operator intervened as a vehicle did not follow the appropriate traffic procedures and proceeded straight from a right turn only lane at T-section.",1
Other road user behaving poorly; close training vehicle,1
Test driver precautionary disengaged to avoid coming too close to the car in front.,1
Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle passing through an active contruction zone No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to ego vehicle initiating a lane change slowly approaching an intersection.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for overly slow approach to a stop sign.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle was stuck at green light.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for inappropriate braking on highway.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to ego vehicle planning inappropriate lane change.,1
"Gps localization is incorrect, lane off-set to large, AV was driving towards edge of the lane. As a result, the driver safely disengaged and resumed manual control.",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for ego vehicle slowing down approaching green light.,1
"Traffic Light Software Module didn't detect traffic light and AV wasn't stopping for red light. As a result, the driver safely disengaged and resumed manual control.",1
Driver disengaged with steering input. Driver took over for other vehicle encroaching in our lane.,1
Driver performed steering maneuver because the vehicle didnt drive on the expected path. Vehicle passing through an active contruction zone No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,1
Driver pressed the brake pedal because the vehicle was driving faster than driver expected. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,1
The operator disengaged the system manually to remain in the operational design domain. This was achieved by pressing the accelerator pedal to increase velocity of the vehicle. This was accomplished by pressing the brake pedal to reduce the velocity of the vehicle. An issue with motion control system caused the system to disengage. The system asked the operator to take control of the vehicle.,1
"A middlware component was offline, leading to the system disengagement. The system asked the operator to take control of the vehicle.",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected slowdown approaching intersection.,1
Test driver precautionary disengaged due to going too close next to adjacent cars.,1
An issue with environment model caused the system to disengage. The system asked the operator to take control of the vehicle.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to braking caused by other car encroaching in our lane.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for inappropriate braking near parked car.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle got stuck at stop sign.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because adjacent vehicle was merging unsafely into our lane.,1
"Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for slow lane change, getting too close to other vehicle.",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected braking on highway.,1
Invalid control unit operation. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for ego vehicle approaching too quickly to a right turn with pedestrians in crosswalk.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected swerving and braking on highway offramp.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over to prevent inappropriate lane change from cutting off other driver.,1
A general error caused the system to stop the engaged status. Vehicle not in an active construction zone. No emergency vehicles or collisions present in the vicinity. Weather and/or road conditions dry in the area.,1
Disengage for unwanted maneuver of the vehicle caused by a control discrepancy in delivering the planned trajectory to the vehicles controls system,1
Object Perception: Incorrectly perceived in road small object lead to unwanted braking,1
Planning Logic: Planner trajectory fails to avoid potential overlap with cyclist,1
Planning Logic: Incorrect behavior prediction for cyclist leads to unwanted braking,1
Planning Logic: Planner trajectory fails to avoid potential overlap with reversing agent,1
Test driver disengaged to avoid hitting the vehilce crossing into ego lane.,1
Test driver precautionary disengaged to avoid metal cart laying on the road.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over during slow unprotected left turn for vehicle oncoming.,1
Test driver disengaged due to planning system choosing a trajectory that is too slowand aggressive.,1
"Weather(Sunny): The vehicle stopped/braked in the urban street due to detection of fire hydrant as an object, No unusual conditions were observed",1
Test driver disengaged due to perception discrepancy in detection of the left-turn car getting onto ego lane.,1
Planning discrepancy affected chosen trajectory to hit the curb.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for sudden braking in intersection.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for sudden slowdown approaching crosswalk with vehicle tailing close behind.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for jerky/wobbly steering.,1
Test driver precautionary disengaged for a truck getting too close during lane merge.,1
Test driver disengaged due to perception desrepancy in detection of a box truck.,1
Test driver disengaged due to perception desrepancy in detection of an opened box truck.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to fallback trajectory error.,1
Planning Logic: Planner trajectory inadequately yields for agent in adjacent lane,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for ego vehicle attempting lane change without enough space.,1
Planning Logic: Prediction about agent merging behind us leads to unwanted braking,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to unexpected braking in intersection.,1
Planning Logic: Incorrect behavior prediction for merging bicyclist results in unwanted braking,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to ego vehicle getting stuck after yielding to pedestrian in sidewalk.,1
Planning Logic: Planned trajectory inadequately yields for vehicle reversing out of driveway,1
Object Perception: Incorrectly perceived offroad object leads to unwanted braking,1
Planning Logic: Planner trajectory inadequately yields for vehicle reversing out of driveway,1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to vehicle creeping forward at red light.,1
Planning Logic: Planner trajectory inadequately yields for vehicle reversing out of garage,1
Object Perception: Incorrectly perceived rain event leads to unwanted braking,1
Object Perception: Late perception of occluded vehicle leads to unwanted planner trajectory,1
"Weather(Sunny): Precautionary disengagement in response to the autonomous vehicle due to an object driving close to ego vehicle behind, No unusual conditions were observed",1
"Weather(Sunny): The vehicle false braked when the object is too far from the vehicle,  No unusual conditions were observed",1
"Weather(Sunny): The vehicle moving irregularly with in the lane due to oscillations in lateral control due to poor lane detection by front camera, No unusual conditions were observed",1
A system software failure in the planner module while approaching an intersection on surface street in cloudy weather.,1
"Weather(Sunny): Late detection of cyclist transitioning from bike lane to road, perception issue",1
"Weather(Sunny): Late detection of pedestrian crossing at crosswalk during left-turn, percetion issue",1
System software failure in the perception module while proceeding straight at low speed with heavy traffic on highway in cloudy weather.,1
"System software failure in the perception module while proceeding straight with medium traffic on highway, in cloudy weather.",1
System software failure in the perception module while proceeding straight on an onramp with low traffic on highway in cloudy weather.,1
"Weather(Sunny): Needed to give emergency vehicle right-of-way, outside of ODD",1
"Weather(Sunny): Driver's safety decision to takeover due to the potential lately non detection on a Pedestrian that intented to cross, driver's seqfety decision",1
System software failure in the perception module while stopped at a stoplight at an intersection with an adjacent vehicle in surface street in cloudy weather.,1
"Weather(Sunny): Road user maneuvering to park inside ego lane too close from in our current lane, outside of ODD",1
"Weather(Sunny): Driver's safety decision to takeover because the traffic was blocked in the middle of an intersection, driver's safety decision",1
"Weather(Sunny): Driver's safety decision to takeover because too much congested at right turn to traffic light, outside of ODD",1
"Weather(Sunny): Controls disengaged at unrpotected left turn due to requesting deceleration above threshold, internal safety concept rules",1
"Weather(Sunny): Driver's safety decision during left turn at stop intersection to let the oncoming vehicle pass first, driver's safety decision",1
"Weather(Sunny): Yield post in middle of crosswalk detected as pedestrian, perception issue",1
System software failure in the perception module while proceeding straight on an onramp with low traffic on highway in cloudy weather. Hazards activated prior to software disengagement.,1
Weather(Sunny): Driver's safety decision to takeover because the front car was parked too close from us at the right of the ego lane,1
System software failure in the perception module while proceeding straight with no traffic on highway in clear weather.,1
"Weather(Sunny): Controls disengaged at pedestrian crossing due to requesting deceleration above threshold, internal safety concept rules",1
"Weather(Sunny): Car on right not seen by  the sensors at stop intersection, which disrupted the order in the stop strategy, perception issue",1
"Weather(Sunny): Right turn at traffic light (oncoming vehicle from the left seen lately by the perception) , perception issue",1
System software failure in the perception module while proceeding straight at low speed with medium traffic on highway in clear weather.,1
"Weather(Sunny): Controls disengaged due to requesting deceleration above threshold, internal safety concept rules",1
A system software failure in the planner module during lane change on surface street in clear weather likely due to the curvature of the mapped lane. ,1
"Weather(Cloudy): Stopped at a stop intersection, disruption in the stop strategy due to an anomly in the distance to stop lane management (take over to pass the stop), perception issue",1
"Weather(Cloudy): Car hidden from the sensors field of view at stop intersection, which disrupted the order in the stop strategy (take over to let the hidden vehicle pass first), perception issue",1
"Weather(Cloudy): Driver's safety decision to takeover because the front car was parked too close from us at the left of the ego lane, outside of ODD",1
"Weather(Sunny): Green light at intersection not detected, perception issue",1
System software failure in the perception module while proceeding straight at low speed on a highway offramp in clear weather.,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected braking due to false positive collision prediction.,1
Prediction discrepancy; incorrect trajectory estimation of vehicle making a illegal maneuver preceding straight from a left turn only lane,1
Planning and Prediction discrepancy; incorrect trajectory estimation of and planning based on detection of a parked vehicle,1
Planning discrepancy; system planned incorrect trajectory due to oncoming vehicle illegally cutting into lane of traffic,1
Prediction discrepancy; incorrect trajectory estimation of vehicle driving through a junction,1
Prediction discrepancy; incorrect trajectory estimation of vehicle while making a lane change maneuver,1
Prediction discrepancy; incorrect trajectory estimation based on adjacent vehicle avoiding another vehicle encroaching on its lane,1
Planning discrepancy; system planned incorrect trajectory based on a pedestrian making an illegal crossing,1
Prediction discrepancy; incorrect trajectory estimation of vehicle making an insufficiently wide turn,1
"Safety Driver disengaged autonomous mode due to issue with the SW giving back control to the driver because of a minor system error. Root cause: SW self diagnosed something to be not most ideal. Conditions: Non-inclement weather, dry roads, no other factors involved.",1
Manual disengagement after a scooter made contact with the AV.,1
"Manual disengagement as the AV had hardware irregularity. The HMI (human machine interface) of the AV system demonstrated abnormal behavior, causing the safety operator manually disengaged the AV.",1
Prediction discrepancy; incorrect trajectory estimation of adjacent vehicle which attempted an illegal lane change,1
Planning discrepancy; system planned incorrect yield at intersection due to an oncoming vehicle during right turn maneuver.,1
"The AV system exited autonomous mode due to hardware irregularity. While the car crossed a bumpy intersection, the AV system detected abnormal car status data, causing it to exit autonomous mode.",1
"Weather(Sunny): Functionnal, stop intersection, reckless driver passes over us",1
Prediction discrepancy; incorrect trajectory estimation of vehicle entering into traffic junction,1
Planning and Prediction discrepancy; incorrect trajectory estimation of and planning for a vehicle cutting into lane of traffic,1
Discrepancy in planning around vehicle merging from pulled over position in highway shoulder close to ego car,1
Discrepancy in planning around vehicle merging close to ego car on highway merge,1
Discrepancy in planning around vehicle making aggressive cut through in front of ego car,1
"Weather(Rainy): Driver's decision: inhibition of lane change maneuvre because  the road user on the target lane was too close, safety decision",1
System software failure in the planning module when approaching an onramp onto the highway in clear weather.,1
"Weather(Rainy): Traffic light stayed at red color when it was green, perception issue with front camera",1
System software failure in the planning module when making a left turn at an intersection in clear weather. ,1
System software failure in the perception module while proceeding straight with low traffic on highway in cloudy weather. Disengagement occurred when AV attempted to lane change.,1
"Weather(Sunny): Loss of one sensor, Hardware failure",1
Weather(Sunny): Reckless driver didn't respect the order at stop intersection (driver's safety decision),1
Driver disengaged with steering input. Driver took over for unexpected swerving due to temporary delocalization.,1
"Weather(Cloudy): Driver's decision to takeover because at stop intersection because of pedestrians crossing the street, driver's safety decision",1
"Weather(Sunny): The vehicle stopped/braked in the urban street due to pedestrains walking in the other direction on the foot path,  It was raining a bit during this disengagement ",1
"Weather (Cloudy, Light Rain): Controls disegaged during stop at traffic light intersection, unknown cause",1
"Weather(Sunny): Front camera temporary loss, hardware issue",1
"Weather(Sunny): Precautionary disengagement at crowdy unrpotected left turn, driver safety decision",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for vehicle cutting in.,1
"Weather(Sunny): Car didn't restart when there was nothing to stop it to. (control issue) , unknown cause",1
"Weather(Sunny): Traffic light stayed at red color when it was green, perception issue",1
"Weather(Sunny): Vehicle stopped on right turn due to being too close to adjacent on-coming traffic, ouside of ODD",1
"Weather(Sunny): Controls did not stop vehicle for pedestrian going across crosswalk that intersected left turn, perception issue",1
Weather(Sunny): Controls disengaged due to requesting deceleration above threshold (part of our safety concept),1
"Weather(Sunny): Road user was going to undercut test vehicle during right turn, Driver' safety decision",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over because ego vehicle was getting stuck looking for a lane change gap.,1
"Weather (Cloudy, Light Rain):  Reckless driver went through 4-way stop intersection when it was the test vehicle's turn",1
"Weather (Cloudy, Light Rain):  Pedestrian crossing post detected in center of roadway, perception issue",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to inappropriate braking to find lane change gap.,1
"Weather(Sunny): Functionnal, construction zone, outside of ODD",1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over due to failure to yield to pedestrian at crosswalk.,1
"Weather(Sunny): Precautionary disengagement in response to the autonomous vehicle as the vehicle might have ran into the concrete barriers due to no visible lanes, outside of ODD",1
Driver disengaged with steering input. Driver took over due to jerky steering while entering left turn lane.,1
"Weather(Sunny): The vehicle moving irregularly due to poor/bad lane detections where white lane mark background is painted in black color on US-101 Freeway,  No unusual conditions were observed, within ODD",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over due to overly slow right turn.,1
"Weather(Sunny): The vehicle moving irregularly due to poor/bad lane detections where white lane mark background is painted in black color and traces of old lane markings still present on US-101 Freeway,  No unusual conditions were observed",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over in response to fallback trajectory error causing braking and veering to the left.,1
"Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for other vehicle merging onto highway did not yield to us, disengaged to make space.",1
"Weather(Sunny): The vehicle moving irregularly due to poor/bad lane detections where white lane mark background is painted in black color and traces of old lane markings still present on US-101 Freeway,  This is in ODD of vehicle however two sets of lane markings with lateral offset caused oscillations",1
"Weather(Sunny): The vehicle was moving irregularly within the lane due to oscillations in lateral control caused by poor lane detection by front camera near US-101 Freeway near Palo Alto, No unusual conditions were observed",1
"Weather(Sunny): The vehicle was not staying in the lanes due to invisible lanes caused from the tree shadows due to front camera limitations, No unusual conditions were observed",1
"Weather(Sunny): The vehicle braked due to a object merging at higher relative speed, No unusual conditions were observed",1
"Weather(Sunny): Virtual object created because of ghost object at pedestrian crossing, Perception issue",1
"Weather(Sunny): Precautionary disengagement in response to a bike cutting in on our lane, driver safety decision",1
Weather(Cloudy): Driver's decision to takeover because at stop intersection because of pedestrians crossing the street (safety decision),1
Weather(Cloudy): Driver's decision to takeover because a bicycle was crossing the road in an intersection (safety  decision),1
Weather(Cloudy): Driver's decision to takeover because the front car was parked in the middle of the ego lane,1
Weather(Cloudy): Driver's decision to takeover because collisions wrongly computed between vehicles at stop intersection,1
"Weather(Cloudy): System disengaged because braking too hard at an unprtected left turn (part of the safey concept, when pushing too hard the brake pedal, system gave back the control)",1
Weather(Cloudy): Pedestrian crossing: virtual object blocking ego vehicle when all pedestrians cleared the intersection (strategy issue),1
"Weather(Cloudy): Stop intersection: Driver's decision to takeover because a side vehicle was seen too late when it was its turn to go, and no ours",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for hesitant driving due to various unstable object detections.,1
Driver disengaged with steering input. Driver took over for unstable braking and swerving around articulated bus.,1
"Weather(Cloudy): Driver's decision to let a vehicle out of its parking spot, outside of ODD",1
"Weather(Cloudy): Driver's decision at stop intersection because the strategy missed a front object and thus seen it too late to be considered in the stop queue (bad order of the queue because late detection), perception issue",1
"Weather(Cloudy): Driver's decision to takeover because the front car was parked at the right of the ego lane, outside of ODD",1
Weather(Cloudy): Driver's decision to takeover because we were about to go in the intersection when the traffic light was about to turn red,1
"Weather(Cloudy): Driver's decision to takeover because sensor loss, hardware issue",1
Recording module failed unexpectedly.,1
"Weather(Sunny): Precautionary disengagement in response to a erratically pedestrian crossing, driver safety decision",1
"Weather(Cloudy): Driver's decision to takeover because ego vehicle was braking on a sign in the middle of a pedestrian crossing considered as a pedestrian, perception issue",1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for improper yellow light handling.,1
Weather(Cloudy): Driver's decision to takeover to consider a reckless driver that passed illegaly before us,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for incomplete lane change at a red light.,1
"Weather(Cloudy): Car disengagement because braking too hard during unprotected left turn (part of the safey concept, when pushing too hard the brake pedal, system gave back the control)",1
Weather(Cloudy): Driver's decision to takeover because too close to a parked object,1
Fusion Dynamic World module timeout.,1
"Weather(Cloudy): Driver's decision to takeover because pedestrian detection at pedestrian crossing was erratic, driver safety decision",1
Brake pedal pressed to reduce the velocity of the vehicle. Driver took over because ego vehicle chose improper position to yield for pedestrian in crosswalk.,1
"Weather(Cloudy): Driver's decision to takeover because too much high speed during a turn, control issue",1
"Brake pedal pressed to reduce the velocity of the vehicle. Driver took over for improper braking during left turn, improper yielding to adjacent vehicle making right turn.",1
"Weather(Cloudy): Driver's decision to takeover during unprotected left turn to let a bicycle pass, driver safety decision",1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over for unexpected braking driving in-lane.,1
Vehicle driver took over for safety. Not stopping for red traffic light due to weak object detection,1
Vehicle driver took over for safety. Driving close to curb due to weak object detection,1
Accelerator pedal pressed to increase velocity of the vehicle. Driver took over in response to sudden braking in dense traffic.,1
"Perception; as a precaution, the safety operator intervened due to perception deficiency where the system failed to detect an object correctly.",1
"Planning; as a precaution, the safety operator intervened to avoid the risk of being rear-ended by a vehicle after the Autonomous Driving Vehicle made a lane change.",1
Planning Logic: Incorrect prediction leads to inadequate yield to pedestrian in crosswalk ,1
"Planning; as a precaution, the safety operator intervened to avoid a vehicle that aggressively cut into the Autonomous Driving Vehicle's traveling lane from left to enter the parking lot on the right side of the road.",1
"Localization; as a precaution, the safety operator intervened as Autonomous Driving Vehicle was drifting to the edge of the lane due to a localization issue.",1
"Planning; as a precaution, the safety operator intervened to avoid a vehicle that did not follow the appropriate traffic procedure and made a left turn into Autonomous Driving Vehicle's traveling lane from a median crossover while Autonomous Driving Vehicle was going straight.",1
