Manufacturer,Permit Number,DATE,VIN NUMBER,"VEHICLE IS CAPABLE OF OPERATING WITHOUT A DRIVER
(Yes or No)","DRIVER PRESENT
(Yes or No)","DISENGAGEMENT INITIATED BY
(AV System, Test Driver, Remote Operator, or Passenger)","DISENGAGEMENT
LOCATION
(Interstate, Freeway, Highway, Rural Road, Street, or Parking Facility)",DESCRIPTION OF FACTS CAUSING DISENGAGEMENT,
EASYMILE,AVT058,2021-03-17 / 12:31:13,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-17 / 13:44:04,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 10:31:16,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 11:01:45,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 11:04:29,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 11:31:43,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 12:02:04,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 13:02:49,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 13:31:25,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-24 / 12:03:45,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-24 / 13:10:45,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-03-20 / 13:43:08,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-03-24 / 13:44:16,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 16:38:00,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-04-07 / 16:41:24,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-10 / 08:30:44,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-10 / 09:36:48,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-10 / 09:54:58,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-10 / 11:40:56,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-10 / 12:05:52,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-14 / 11:41:15,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-14 / 11:48:37,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-14 / 12:46:43,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-04-17 / 10:30:15,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-28 / 10:28:12,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-04-07 / 13:24:22,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 13:33:39,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 13:54:21,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 14:35:33,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 14:42:46,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 15:13:06,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 16:26:52,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 16:35:37,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 16:45:09,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 16:50:42,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 16:56:20,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 17:01:09,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-07 / 17:03:54,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 08:27:52,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 08:32:52,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 08:33:02,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 08:36:17,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 10:19:52,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 10:26:33,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-10 / 10:27:04,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-14 / 11:14:48,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-14 / 11:59:03,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-14 / 12:00:15,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-17 / 09:39:46,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 10:33:15,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 10:33:20,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 10:33:22,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 10:33:24,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 10:33:29,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 11:31:07,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 12:35:50,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-04-28 / 13:42:50,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:25:41,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-01 / 09:35:21,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-01 / 10:17:13,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-05-01 / 10:26:54,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-01 / 12:17:14,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-05 / 12:08:14,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-05 / 13:39:14,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-05-08 / 09:54:27,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-08 / 10:18:25,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-08 / 12:29:51,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-08 / 12:56:16,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-12 / 13:57:36,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-12 / 16:40:14,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-05-01 / 08:20:52,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:23:36,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:23:37,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:23:55,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:00,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:01,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:15,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:21,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:24,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:28,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:47,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:49,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:53,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:54,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:55,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:24:56,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 09:26:20,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 12:00:11,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-01 / 12:12:32,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-05 / 12:05:25,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-05 / 14:00:46,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-08 / 10:49:41,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-08 / 12:49:42,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-12 / 12:45:15,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-12 / 16:46:29,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-15 / 10:40:55,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-15 / 12:34:22,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-15 / 15:55:51,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-05-15 / 16:00:30,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-02 / 15:19:39,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-06-02 / 15:27:20,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-06-09 / 12:11:37,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-06-09 / 13:41:24,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-06-16 / 14:14:24,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-06-30 / 13:37:30,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-06-02 / 10:55:58,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-02 / 16:41:11,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-05 / 14:23:53,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-05 / 16:32:19,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 11:08:03,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 12:07:16,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 12:27:17,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 12:28:09,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 12:28:12,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 12:30:25,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 14:41:53,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 14:43:49,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-09 / 16:40:23,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-12 / 12:29:16,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-12 / 12:50:12,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-12 / 12:53:42,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-12 / 16:18:12,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-12 / 16:26:00,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 10:25:45,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 12:15:35,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 12:46:10,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 14:27:26,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 15:03:05,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 15:23:25,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 15:27:30,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 15:56:55,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-16 / 16:22:22,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-30 / 10:43:11,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-30 / 12:07:25,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-30 / 13:30:59,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-30 / 14:03:02,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-30 / 15:09:24,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-06-30 / 16:14:38,VJRD1A10224000022,No,Yes,Test Driver - Soft Stop,Street,The Test Driver saw an inanimate obstacle ahead and preemtively triggered a soft stop,
EASYMILE,AVT058,2021-07-03 / 11:59:57,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-07-03 / 12:47:37,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,"A collision hazard in the environment ahead was detected by the software, which triggered an Estop",
EASYMILE,AVT058,2021-07-03 / 12:52:50,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 11:10:05,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 12:05:11,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 13:53:36,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 13:54:40,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 15:21:34,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 15:45:14,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-15 / 16:28:45,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-22 / 10:15:34,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
EASYMILE,AVT058,2021-07-22 / 10:53:01,VJRD1A10224000022,No,Yes,AV System - Emergency Stop,Street,The software detected an inanimate object in the AV's path and triggered an Estop,
